ID,gender,feduc,peducd,meduc,meducd,educ,educd,educsubj,score,salary9606,salary1,date1,salary2,date2,salary3,date3,salary4,date4,salary5,date5,salarynow,jobprotection,jobeduc,cpn2014
4905,男,高中職業科,公立,高職,私立,碩士,公立一般大學,科學領域,51,0,,9607,,9609,,10007,,10009,,10208,,4,高中(職),1
4908,男,高職,私立,高職,公立,一般大學,私立一般大學,人文及藝術領域,37,23000,23000,10006,,10010,20000,10105,,10202,20000,10211,20000,4,高中(職),1
4910,男,高職,,高職,私立,技術學院或科技大學,私立技職學院,工程、製造及營造領域,31,7000,14000,9307,,9308,7000,9909,,10006,,10011,35000,4,大學,1
4919,男,一般大學,私立,高職,公立,碩士,公立一般大學,工程、製造及營造領域,63,48000,48000,10209,,,,,,,,,48000,4,大學,1
4934,女,二專,公立,高職,公立,一般大學,私立一般大學,社會科學、商業及法律領域,43,24000,24000,10104,,10206,25000,10302,,,,,25000,4,大學,1
4935,女,一般大學,公立,一般大學,私立,一般大學,公立一般大學,人文及藝術領域,,40000,40000,10108,45000,10208,,,,,,,46000,5,大學,1
4942,男,一般大學,私立,一般大學,私立,一般大學,私立一般大學,工程、製造及營造領域,44,17000,17000,9907,,9908,,,,,,,17000,2,高中(職),1
4943,女,高職,,高職,公立,一般大學,公立一般大學,人文及藝術領域,49,0,,10008,15000,10102,,,,,,,15000,5,高中(職),1
4945,女,一般大學,私立,,,碩士,公立一般大學,社會科學、商業及法律領域,,0,,,,,,,,,,,,,,1
4954,女,小學,公立,高職,私立,二專,私立專科學校,醫藥衛生及社福領域,,10000,10000,9609,29000,9808,6000,9812,32000,9908,32000,10008,35000,2,專科,1
4957,男,高中普通科,,高中普通科,,一般大學,私立一般大學,人文及藝術領域,,28000,28000,10107,,10108,26000,10306,,,,,26000,4,大學,1
4961,男,碩士,公立,一般大學,公立,碩士,公立一般大學,科學領域,63,0,,,,,,,,,,,,,,1
4962,男,國（初）中,公立,小學,公立,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,11000,11000,9701,,9706,8000,9803,,9810,20000,10002,20000,2,高中(職),1
4981,女,高職,私立,高職,,技術學院或科技大學,公立科技大學,科學領域,,20000,20000,10108,30000,10202,,,,,,,30000,4,大學,1
4996,男,一般大學,私立,一般大學,,博士,私立一般大學,工程、製造及營造領域,55,17000,17000,9807,,9809,20000,10209,,,,,20000,5,博士,1
5000,女,國（初）中,,高職,,技術學院或科技大學,私立科技大學,醫藥衛生及社福領域,,33000,33000,10011,35000,10102,,,,,,,35899,4,大學,1
5001,男,高職,私立,小學,公立,碩士,,普通類,,20000,20000,10208,,10212,,,,,,,20000,4,高中(職),1
5002,女,二專,私立,高職,私立,一般大學,私立一般大學,社會科學、商業及法律領域,,10000,10000,9801,,9812,18000,10008,22000,10010,,10205,31000,4,大學,1
5004,男,國（初）中,公立,高中普通科,公立,高職,,,,15000,19000,9596,15000,9696,,9906,18000,10006,,,20000,5,國中以下,1
5009,女,五專,,高職,私立,碩士,國外大學,社會科學、商業及法律領域,,42000,42000,10207,,,,,,,,,42000,4,大學,1
5011,男,國（初）中,公立,高職,私立,二專,公立科技大學,科學領域,,28000,28000,9609,,,,,,,,,38000,4,高中(職),1
5018,女,技術學院或科技大學,,高職,公立,一般大學,私立一般大學,人文及藝術領域,,3000,3000,9702,,10006,45000,10108,50000,10208,,,50000,4,大學,1
5023,男,國（初）中,公立,國（初）中,,碩士,私立一般大學,社會科學、商業及法律領域,50,10000,10000,9609,,9812,18000,10107,,10108,,10208,18000,2,大學,1
5024,男,一般大學,,高職,公立,碩士,公立一般大學,工程、製造及營造領域,55,0,,,,,,,,,,,,,,1
5027,女,高職,私立,高職,私立,技術學院或科技大學,私立科技大學,醫藥衛生及社福領域,,18000,18000,10009,26000,10106,,10203,22000,10208,,,23000,5,專科,1
5029,男,高中,,小學,,一般大學,公立一般大學,工程、製造及營造領域,54,27000,27000,9607,,9609,27000,9707,,9709,,10009,30000,4,高中(職),1
5030,男,高職,私立,高中普通科,,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,12000,12000,9710,,9901,,10006,30000,10105,28000,10205,35000,3,大學,1
5032,男,國（初）中,公立,小學,公立,一般大學,私立一般大學,社會科學、商業及法律領域,41,20000,20000,10201,,,,,,,,,20000,3,高中(職),1
5038,女,高中職業科,私立,高職,,技術學院或科技大學,私立科技大學,服務領域,,0,7200,9307,,9308,8000,9602,,9609,10400,9996,40000,4,專科,1
5041,女,軍警校專修班,公立,五專,私立,技術學院或科技大學,私立科技大學,醫藥衛生及社福領域,,32000,32000,10006,34000,10204,30000,10305,,,,,30000,5,大學,1
5042,男,國（初）中,公立,高職,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,11000,11000,9610,,9612,12000,9710,,9905,12000,9909,27000,4,高中(職),1
5043,女,碩士,國外,碩士,公立,一般大學,公立一般大學,人文及藝術領域,61,7500,7500,10103,,10106,34000,10203,,,,,38000,5,大學,1
5044,男,國（初）中,,,,高中,,,,0,18000,9407,,9601,,9607,33000,9708,16000,10008,29000,5,國中以下,1
5047,女,五專,,二專,私立,一般大學,私立一般大學,科學領域,42,15000,15000,9607,13000,9609,25000,10008,25000,10104,,,26000,5,高中(職),1
5050,女,高中,,國（初）中,,技術學院或科技大學,私立科技大學,人文及藝術領域,,23000,23000,9807,,9809,23000,10007,24000,10103,,,26000,4,大學,1
5065,男,五專,,五專,私立,碩士,私立一般大學,工程、製造及營造領域,56,10000,10000,10009,,10206,,10211,,10310,,,10000,4,專科,1
5070,男,五專,,五專,,一般大學,私立一般大學,工程、製造及營造領域,,6000,6000,10109,,,,,,,,,6000,4,高中(職),1
5071,男,小學,,國（初）中,,一般大學,公立一般大學,教育領域,54,10000,10000,9709,0,10008,,10101,,10108,40500,10207,41500,3,大學,1
5074,男,一般大學,私立,五專,,碩士,私立一般大學,科學領域,57,20000,20000,10107,,10108,,10209,,,,,20000,4,大學,1
